"NTEE","NTEE2","level1","level2","level3","level4","level5","level1.label","level2.label","level3.label","level4.label","level5.label","keywords"
"A0223","ART-A23-MT","ART","Axx","A2x","A23","MT","Arts, Culture & Humanities","Arts, Culture & Humanities","Organization providing management and technical assistance for a nonprofit in arts, culture & humanities.","Organizations that promote artistic expression within a particular ethnic community; work for the preservation and promotion of the traditions, values and lifestyles of different cultural groups; organize activities and events which promote cultural exchange locally or nationally; and encourage understanding and respect for different cultural heritages among the youthful members of the group as well as the mainstream population.","Management and Technical Assistance",NA
"A0225","ART-A25-MT","ART","Axx","A2x","A25","MT","Arts, Culture & Humanities","Arts, Culture & Humanities","Organization providing management and technical assistance for a nonprofit in arts, culture & humanities.","Organizations that provide informal arts educational programming and/or instruction but do not grant diplomas or degrees; or which offer services regarding the arts to educational institutions or to public entities involved in education.","Management and Technical Assistance",NA
"A0226","ART-A26-MT","ART","Axx","A2x","A26","MT","Arts, Culture & Humanities","Arts, Culture & Humanities","Organization providing management and technical assistance for a nonprofit in arts, culture & humanities.","Organizations that foster, nurture and sustain artistic excellence and create a climate in which the arts and humanities may flourish in a community.","Management and Technical Assistance",NA
"A0230","ART-A30-MT","ART","Axx","A3x","A30","MT","Arts, Culture & Humanities","Arts, Culture & Humanities","Organization providing management and technical assistance for a nonprofit in arts, culture & humanities.","Organizations that are involved in publishing, productions or programming utilizing any of a variety of media or in educational programs related to the media. Use this code for organizations involved in productions in different types of media or for those using types of media not specified below.","Management and Technical Assistance",NA
"A0240","ART-A40-MT","ART","Axx","A4x","A40","MT","Arts, Culture & Humanities","Arts, Culture & Humanities","Organization providing management and technical assistance for a nonprofit in arts, culture & humanities.","Organizations whose activities promote or provide access to a variety of visual arts. Included are organizations that focus on an art form in a specific medium such as stained glass or textiles.","Management and Technical Assistance",NA
"A0250","ART-A50-MT","ART","Axx","A5x","A50","MT","Arts, Culture & Humanities","Arts, Culture & Humanities","Organization providing management and technical assistance for a nonprofit in arts, culture & humanities.","Organizations that acquire, preserve, research, exhibit and provide for the educational use of works of art, objects or artifacts that are related to the study of zoology, biology, botany, mineralogy, geology and other natural sciences; history; archeology; or science and technology. Use this code for types of museums not specified below.","Management and Technical Assistance",NA
"A0260","ART-A60-MT","ART","Axx","A6x","A60","MT","Arts, Culture & Humanities","Arts, Culture & Humanities","Organization providing management and technical assistance for a nonprofit in arts, culture & humanities.","Organizations that provide access to the performing arts or a variety of art forms including the performing arts, and/or which present performing arts series. Use this code for organizations devoted to art forms not specified below.","Management and Technical Assistance",NA
"A0261","ART-A61-MT","ART","Axx","A6x","A61","MT","Arts, Culture & Humanities","Arts, Culture & Humanities","Organization providing management and technical assistance for a nonprofit in arts, culture & humanities.","Organizations that operate facilities including theaters for the performing arts.","Management and Technical Assistance",NA
"A0265","ART-A65-MT","ART","Axx","A6x","A65","MT","Arts, Culture & Humanities","Arts, Culture & Humanities","Organization providing management and technical assistance for a nonprofit in arts, culture & humanities.","Organizations whose primary activity is the production of plays. (Organizations that present the productions of others should be classified as presenters. (A61)","Management and Technical Assistance",NA
"A0268","ART-A68-MT","ART","Axx","A6x","A68","MT","Arts, Culture & Humanities","Arts, Culture & Humanities","Organization providing management and technical assistance for a nonprofit in arts, culture & humanities.","Organizations whose primary activity is the production of musical events, including concert series and music festivals.","Management and Technical Assistance",NA
"A0269","ART-A69-MT","ART","Axx","A6x","A69","MT","Arts, Culture & Humanities","Arts, Culture & Humanities","Organization providing management and technical assistance for a nonprofit in arts, culture & humanities.","Organizations whose primary activity is the operation of a symphony <p> orchestra including youth symphonies.","Management and Technical Assistance",NA
"A0284","ART-A84-MT","ART","Axx","A8x","A84","MT","Arts, Culture & Humanities","Arts, Culture & Humanities","Organization providing management and technical assistance for a nonprofit in arts, culture & humanities.","Organizations that sponsor activities which celebrate, memorialize and sometimes recreate important events in history such as battles, treaties, speeches, centennials, independence days, catastrophes that had an important impact or other similar occasions.","Management and Technical Assistance",NA
"A0290","ART-A90-MT","ART","Axx","A9x","A90","MT","Arts, Culture & Humanities","Arts, Culture & Humanities","Organization providing management and technical assistance for a nonprofit in arts, culture & humanities.","Organizations that provide services such as facilities or touring assistance for arts organizations.","Management and Technical Assistance",NA
"A03","ART-A00-PA","ART","Axx","A0x","A00","PA","Arts, Culture & Humanities","Arts, Culture & Humanities","Professional Society/Association in arts, culture & humanities.","Professional Society/Association in arts, culture & humanities.","Professional Society/Association",""
"A0323","ART-A23-PA","ART","Axx","A2x","A23","PA","Arts, Culture & Humanities","Arts, Culture & Humanities","Professional Society/Association in arts, culture & humanities.","Organizations that promote artistic expression within a particular ethnic community; work for the preservation and promotion of the traditions, values and lifestyles of different cultural groups; organize activities and events which promote cultural exchange locally or nationally; and encourage understanding and respect for different cultural heritages among the youthful members of the group as well as the mainstream population.","Professional Society/Association",NA
"A0325","ART-A25-PA","ART","Axx","A2x","A25","PA","Arts, Culture & Humanities","Arts, Culture & Humanities","Professional Society/Association in arts, culture & humanities.","Organizations that provide informal arts educational programming and/or instruction but do not grant diplomas or degrees; or which offer services regarding the arts to educational institutions or to public entities involved in education.","Professional Society/Association",NA
"A0326","ART-A26-PA","ART","Axx","A2x","A26","PA","Arts, Culture & Humanities","Arts, Culture & Humanities","Professional Society/Association in arts, culture & humanities.","Organizations that foster, nurture and sustain artistic excellence and create a climate in which the arts and humanities may flourish in a community.","Professional Society/Association",NA
"A0330","ART-A30-PA","ART","Axx","A3x","A30","PA","Arts, Culture & Humanities","Arts, Culture & Humanities","Professional Society/Association in arts, culture & humanities.","Organizations that are involved in publishing, productions or programming utilizing any of a variety of media or in educational programs related to the media. Use this code for organizations involved in productions in different types of media or for those using types of media not specified below.","Professional Society/Association",NA
"A0331","ART-A31-PA","ART","Axx","A3x","A31","PA","Arts, Culture & Humanities","Arts, Culture & Humanities","Professional Society/Association in arts, culture & humanities.","Organizations that produce films, videos and holographic images for a variety of educational, documentary and cultural purposes, and/or promote public appreciation of film and video. Also included are organizations that encourage new, foreign and independent filmmakers through the organization and presentation of film expositions and festivals or which show old or difficult to obtain films in noncommercial facilities.","Professional Society/Association",NA
"A0332","ART-A32-PA","ART","Axx","A3x","A32","PA","Arts, Culture & Humanities","Arts, Culture & Humanities","Professional Society/Association in arts, culture & humanities.","Organizations engaged in television productions and broadcast. Includes producers of public television, cable television, community access television, broadcasting in schools, and interactive television.","Professional Society/Association",NA
"A0333","ART-A33-PA","ART","Axx","A3x","A33","PA","Arts, Culture & Humanities","Arts, Culture & Humanities","Professional Society/Association in arts, culture & humanities.","Organizations that publish a variety of materials on diverse topics. Includes university presses.","Professional Society/Association",NA
"A0340","ART-A40-PA","ART","Axx","A4x","A40","PA","Arts, Culture & Humanities","Arts, Culture & Humanities","Professional Society/Association in arts, culture & humanities.","Organizations whose activities promote or provide access to a variety of visual arts. Included are organizations that focus on an art form in a specific medium such as stained glass or textiles.","Professional Society/Association",NA
"A0360","ART-A60-PA","ART","Axx","A6x","A60","PA","Arts, Culture & Humanities","Arts, Culture & Humanities","Professional Society/Association in arts, culture & humanities.","Organizations that provide access to the performing arts or a variety of art forms including the performing arts, and/or which present performing arts series. Use this code for organizations devoted to art forms not specified below.","Professional Society/Association",NA
"A0362","ART-A62-PA","ART","Axx","A6x","A62","PA","Arts, Culture & Humanities","Arts, Culture & Humanities","Professional Society/Association in arts, culture & humanities.","Organizations that create and/or perform a variety of types of dance, including modern, folk, country and western, and square dancing.","Professional Society/Association",NA
"A0365","ART-A65-PA","ART","Axx","A6x","A65","PA","Arts, Culture & Humanities","Arts, Culture & Humanities","Professional Society/Association in arts, culture & humanities.","Organizations whose primary activity is the production of plays. (Organizations that present the productions of others should be classified as presenters. (A61)","Professional Society/Association",NA
"A0368","ART-A68-PA","ART","Axx","A6x","A68","PA","Arts, Culture & Humanities","Arts, Culture & Humanities","Professional Society/Association in arts, culture & humanities.","Organizations whose primary activity is the production of musical events, including concert series and music festivals.","Professional Society/Association",NA
"A0369","ART-A69-PA","ART","Axx","A6x","A69","PA","Arts, Culture & Humanities","Arts, Culture & Humanities","Professional Society/Association in arts, culture & humanities.","Organizations whose primary activity is the operation of a symphony <p> orchestra including youth symphonies.","Professional Society/Association",NA
"A036B","ART-A6B-PA","ART","Axx","A6x","A6B","PA","Arts, Culture & Humanities","Arts, Culture & Humanities","Professional Society/Association in arts, culture & humanities.","Organizations whose primary activity is the production of concerts including barbershop singing groups, glee clubs/choir groups, childrens choirs and other singing ensembles.","Professional Society/Association",NA
"A036C","ART-A6C-PA","ART","Axx","A6x","A6C","PA","Arts, Culture & Humanities","Arts, Culture & Humanities","Professional Society/Association in arts, culture & humanities.","Organizations that produce music not specifically covered by another category including marching bands, jazz groups, chamber music groups, blues, country music, ethnic music (e.g., Brazilian, Celtic, Afro-pop, etc.), folk music, rhythm and blues.","Professional Society/Association",NA
"A036E","ART-A6E-PA","ART","Axx","A6x","A6E","PA","Arts, Culture & Humanities","Arts, Culture & Humanities","Professional Society/Association in arts, culture & humanities.","Organizations that offer classes in the performing arts but do not confer academic degrees.","Professional Society/Association",NA
"A0370","ART-A70-PA","ART","Axx","A7x","A70","PA","Arts, Culture & Humanities","Arts, Culture & Humanities","Professional Society/Association in arts, culture & humanities.","Organizations that promote the study, teaching, or appreciation of the humanities (archaeology, art history, history, modern and classical languages, philosophy and ethics, and theology and comparative religion).","Professional Society/Association",NA
"A0380","ART-A80-PA","ART","Axx","A8x","A80","PA","Arts, Culture & Humanities","Arts, Culture & Humanities","Professional Society/Association in arts, culture & humanities.","Organizations that promote awareness of and appreciation for history and historical artifacts. Use this code for organizations that are not specified below.","Professional Society/Association",NA
"A0384","ART-A84-PA","ART","Axx","A8x","A84","PA","Arts, Culture & Humanities","Arts, Culture & Humanities","Professional Society/Association in arts, culture & humanities.","Organizations that sponsor activities which celebrate, memorialize and sometimes recreate important events in history such as battles, treaties, speeches, centennials, independence days, catastrophes that had an important impact or other similar occasions.","Professional Society/Association",NA
"A05","ART-A00-RP","ART","Axx","A0x","A00","RP","Arts, Culture & Humanities","Arts, Culture & Humanities","Research Institute and/or Public Policy Analysis in arts, culture & humanities.","Research Institute and/or Public Policy Analysis in arts, culture & humanities.","Research Institute and/or Public Policy Analysis",""
"A0520","ART-A20-RP","ART","Axx","A2x","A20","RP","Arts, Culture & Humanities","Arts, Culture & Humanities","Research Institute and/or Public Policy Analysis in arts, culture & humanities.","Organizations that promote, produce or provide access to a variety of arts experiences encompassing the visual, media or performing arts.","Research Institute and/or Public Policy Analysis",NA
"A0523","ART-A23-RP","ART","Axx","A2x","A23","RP","Arts, Culture & Humanities","Arts, Culture & Humanities","Research Institute and/or Public Policy Analysis in arts, culture & humanities.","Organizations that promote artistic expression within a particular ethnic community; work for the preservation and promotion of the traditions, values and lifestyles of different cultural groups; organize activities and events which promote cultural exchange locally or nationally; and encourage understanding and respect for different cultural heritages among the youthful members of the group as well as the mainstream population.","Research Institute and/or Public Policy Analysis",NA
"A0530","ART-A30-RP","ART","Axx","A3x","A30","RP","Arts, Culture & Humanities","Arts, Culture & Humanities","Research Institute and/or Public Policy Analysis in arts, culture & humanities.","Organizations that are involved in publishing, productions or programming utilizing any of a variety of media or in educational programs related to the media. Use this code for organizations involved in productions in different types of media or for those using types of media not specified below.","Research Institute and/or Public Policy Analysis",NA
"A0540","ART-A40-RP","ART","Axx","A4x","A40","RP","Arts, Culture & Humanities","Arts, Culture & Humanities","Research Institute and/or Public Policy Analysis in arts, culture & humanities.","Organizations whose activities promote or provide access to a variety of visual arts. Included are organizations that focus on an art form in a specific medium such as stained glass or textiles.","Research Institute and/or Public Policy Analysis",NA
"A0560","ART-A60-RP","ART","Axx","A6x","A60","RP","Arts, Culture & Humanities","Arts, Culture & Humanities","Research Institute and/or Public Policy Analysis in arts, culture & humanities.","Organizations that provide access to the performing arts or a variety of art forms including the performing arts, and/or which present performing arts series. Use this code for organizations devoted to art forms not specified below.","Research Institute and/or Public Policy Analysis",NA
"A0568","ART-A68-RP","ART","Axx","A6x","A68","RP","Arts, Culture & Humanities","Arts, Culture & Humanities","Research Institute and/or Public Policy Analysis in arts, culture & humanities.","Organizations whose primary activity is the production of musical events, including concert series and music festivals.","Research Institute and/or Public Policy Analysis",NA
"A0570","ART-A70-RP","ART","Axx","A7x","A70","RP","Arts, Culture & Humanities","Arts, Culture & Humanities","Research Institute and/or Public Policy Analysis in arts, culture & humanities.","Organizations that promote the study, teaching, or appreciation of the humanities (archaeology, art history, history, modern and classical languages, philosophy and ethics, and theology and comparative religion).","Research Institute and/or Public Policy Analysis",NA
"A0580","ART-A80-RP","ART","Axx","A8x","A80","RP","Arts, Culture & Humanities","Arts, Culture & Humanities","Research Institute and/or Public Policy Analysis in arts, culture & humanities.","Organizations that promote awareness of and appreciation for history and historical artifacts. Use this code for organizations that are not specified below.","Research Institute and/or Public Policy Analysis",NA
"A0584","ART-A84-RP","ART","Axx","A8x","A84","RP","Arts, Culture & Humanities","Arts, Culture & Humanities","Research Institute and/or Public Policy Analysis in arts, culture & humanities.","Organizations that sponsor activities which celebrate, memorialize and sometimes recreate important events in history such as battles, treaties, speeches, centennials, independence days, catastrophes that had an important impact or other similar occasions.","Research Institute and/or Public Policy Analysis",NA
"A11","ART-A00-MS","ART","Axx","A0x","A00","MS","Arts, Culture & Humanities","Arts, Culture & Humanities","Providing monetary support to a sinlge organization in arts, culture & humanities.","Providing monetary support to a sinlge organization in arts, culture & humanities.","Monetary Support - Single Organization",""
"A1123","ART-A23-MS","ART","Axx","A2x","A23","MS","Arts, Culture & Humanities","Arts, Culture & Humanities","Providing monetary support to a sinlge organization in arts, culture & humanities.","Organizations that promote artistic expression within a particular ethnic community; work for the preservation and promotion of the traditions, values and lifestyles of different cultural groups; organize activities and events which promote cultural exchange locally or nationally; and encourage understanding and respect for different cultural heritages among the youthful members of the group as well as the mainstream population.","Monetary Support - Single Organization",NA
"A1124","ART-A24-MS","ART","Axx","A2x","A24","MS","Arts, Culture & Humanities","Arts, Culture & Humanities","Providing monetary support to a sinlge organization in arts, culture & humanities.","Organizations that produce, promote and disseminate information on traditional music, dance, theater or folklore of various cultures and organizations that perform, present and support folk art in a specific region.","Monetary Support - Single Organization",NA
"A1125","ART-A25-MS","ART","Axx","A2x","A25","MS","Arts, Culture & Humanities","Arts, Culture & Humanities","Providing monetary support to a sinlge organization in arts, culture & humanities.","Organizations that provide informal arts educational programming and/or instruction but do not grant diplomas or degrees; or which offer services regarding the arts to educational institutions or to public entities involved in education.","Monetary Support - Single Organization",NA
"A1126","ART-A26-MS","ART","Axx","A2x","A26","MS","Arts, Culture & Humanities","Arts, Culture & Humanities","Providing monetary support to a sinlge organization in arts, culture & humanities.","Organizations that foster, nurture and sustain artistic excellence and create a climate in which the arts and humanities may flourish in a community.","Monetary Support - Single Organization",NA
"A1130","ART-A30-MS","ART","Axx","A3x","A30","MS","Arts, Culture & Humanities","Arts, Culture & Humanities","Providing monetary support to a sinlge organization in arts, culture & humanities.","Organizations that are involved in publishing, productions or programming utilizing any of a variety of media or in educational programs related to the media. Use this code for organizations involved in productions in different types of media or for those using types of media not specified below.","Monetary Support - Single Organization",NA
"A1131","ART-A31-MS","ART","Axx","A3x","A31","MS","Arts, Culture & Humanities","Arts, Culture & Humanities","Providing monetary support to a sinlge organization in arts, culture & humanities.","Organizations that produce films, videos and holographic images for a variety of educational, documentary and cultural purposes, and/or promote public appreciation of film and video. Also included are organizations that encourage new, foreign and independent filmmakers through the organization and presentation of film expositions and festivals or which show old or difficult to obtain films in noncommercial facilities.","Monetary Support - Single Organization",NA
"A1132","ART-A32-MS","ART","Axx","A3x","A32","MS","Arts, Culture & Humanities","Arts, Culture & Humanities","Providing monetary support to a sinlge organization in arts, culture & humanities.","Organizations engaged in television productions and broadcast. Includes producers of public television, cable television, community access television, broadcasting in schools, and interactive television.","Monetary Support - Single Organization",NA
"A1133","ART-A33-MS","ART","Axx","A3x","A33","MS","Arts, Culture & Humanities","Arts, Culture & Humanities","Providing monetary support to a sinlge organization in arts, culture & humanities.","Organizations that publish a variety of materials on diverse topics. Includes university presses.","Monetary Support - Single Organization",NA
"A1134","ART-A34-MS","ART","Axx","A3x","A34","MS","Arts, Culture & Humanities","Arts, Culture & Humanities","Providing monetary support to a sinlge organization in arts, culture & humanities.","Organizations engaged in radio productions and broadcast, including public radio stations and radio stations that offer programming that is designed for community residents who are blind or visually impaired (radio reading services).","Monetary Support - Single Organization",NA
"A1140","ART-A40-MS","ART","Axx","A4x","A40","MS","Arts, Culture & Humanities","Arts, Culture & Humanities","Providing monetary support to a sinlge organization in arts, culture & humanities.","Organizations whose activities promote or provide access to a variety of visual arts. Included are organizations that focus on an art form in a specific medium such as stained glass or textiles.","Monetary Support - Single Organization",NA
"A1150","ART-A50-MS","ART","Axx","A5x","A50","MS","Arts, Culture & Humanities","Arts, Culture & Humanities","Providing monetary support to a sinlge organization in arts, culture & humanities.","Organizations that acquire, preserve, research, exhibit and provide for the educational use of works of art, objects or artifacts that are related to the study of zoology, biology, botany, mineralogy, geology and other natural sciences; history; archeology; or science and technology. Use this code for types of museums not specified below.","Monetary Support - Single Organization",NA
"A1151","ART-A51-MS","ART","Axx","A5x","A51","MS","Arts, Culture & Humanities","Arts, Culture & Humanities","Providing monetary support to a sinlge organization in arts, culture & humanities.","Organizations that acquire, preserve and exhibit collections of objects including fine art, decorative art, folk/ethnic art and textiles that are collected primarily for their aesthetic qualities and their importance as representatives of a particular artistic tradition or style.","Monetary Support - Single Organization",NA
"A1152","ART-A52-MS","ART","Axx","A5x","A52","MS","Arts, Culture & Humanities","Arts, Culture & Humanities","Providing monetary support to a sinlge organization in arts, culture & humanities.","Organizations that develop and maintain educational exhibits that are structured for the size, interests and intellectual capacity of young children. Childrens museums are participatory and allow visitors to interact with the exhibits (touching, exploring, manipulating), and many offer organized lessons for groups of school children that focus on one or more of the exhibits. NOTE: See also A57, Science and Technology Museums, for other organizations with substantial activities and collections for children.","Monetary Support - Single Organization",NA
"A1153","ART-A53-MS","ART","Axx","A5x","A53","MS","Arts, Culture & Humanities","Arts, Culture & Humanities","Providing monetary support to a sinlge organization in arts, culture & humanities.","Specialized museums, foundations and other organizations whose activities and collections preserve and promote the culture and history of a specific nationality, or racial or ethnic group, e.g. Native Americans.","Monetary Support - Single Organization",NA
"A1154","ART-A54-MS","ART","Axx","A5x","A54","MS","Arts, Culture & Humanities","Arts, Culture & Humanities","Providing monetary support to a sinlge organization in arts, culture & humanities.","Organizations that acquire, preserve, research and exhibit collections of objects including documents, tools, implements and furnishings that have significance in helping to interpret or understand the past. History museums may specialize in a specific era such as early Greece or Rome, a particular geographical region such as California or Appalachia, a particular ethnic or cultural group such as Native Americans or a specific subject area such as costumes; and may contain items created or used by contemporary or historical figures.","Monetary Support - Single Organization",NA
"A1156","ART-A56-MS","ART","Axx","A5x","A56","MS","Arts, Culture & Humanities","Arts, Culture & Humanities","Providing monetary support to a sinlge organization in arts, culture & humanities.","Organizations that acquire, preserve, research and exhibit collections of objects that have significance in the natural sciences including botany, zoology, geology and physical and cultural anthropology.","Monetary Support - Single Organization",NA
"A1157","ART-A57-MS","ART","Axx","A5x","A57","MS","Arts, Culture & Humanities","Arts, Culture & Humanities","Providing monetary support to a sinlge organization in arts, culture & humanities.","Organizations that develop and maintain educational exhibits which illustrate principles from mathematics and the physical sciences.","Monetary Support - Single Organization",NA
"A1160","ART-A60-MS","ART","Axx","A6x","A60","MS","Arts, Culture & Humanities","Arts, Culture & Humanities","Providing monetary support to a sinlge organization in arts, culture & humanities.","Organizations that provide access to the performing arts or a variety of art forms including the performing arts, and/or which present performing arts series. Use this code for organizations devoted to art forms not specified below.","Monetary Support - Single Organization",NA
"A1161","ART-A61-MS","ART","Axx","A6x","A61","MS","Arts, Culture & Humanities","Arts, Culture & Humanities","Providing monetary support to a sinlge organization in arts, culture & humanities.","Organizations that operate facilities including theaters for the performing arts.","Monetary Support - Single Organization",NA
"A1162","ART-A62-MS","ART","Axx","A6x","A62","MS","Arts, Culture & Humanities","Arts, Culture & Humanities","Providing monetary support to a sinlge organization in arts, culture & humanities.","Organizations that create and/or perform a variety of types of dance, including modern, folk, country and western, and square dancing.","Monetary Support - Single Organization",NA
